"id","sentence","Plex score","LIME score"
1,"The quick brown fox jumps over the lazy dog in the park","[-0.385,0.029,-0.398,-0.471,0.464,-0.064,-0.05,0.188,-0.39,0.056,-0.272,-0.23]","[-0.188,0.239,-0.482,0.256,-0.499,-0.132,-0.052,0.173,-0.479,0.24,-0.287,-0.167]"
2,"Machine learning models require large datasets for training effectively","[0.199,0.473,0.493,-0.312,-0.042,-0.298,-0.329,-0.247,0.229]","[-0.216,-0.087,-0.021,-0.346,0.289,0.003,0.318,0.066,0.409]"
3,"Natural language processing helps computers understand human communication","[-0.24,-0.145,0.34,-0.034,-0.448,-0.093,0.437,-0.054]","[0.458,0.165,0.46,-0.283,0.164,-0.13,-0.373,0.161]"
4,"Artificial intelligence revolutionizes how we interact with technology daily","[-0.113,0.453,-0.458,-0.254,-0.373,-0.354,0.216,-0.073,0.08]","[0.169,0.429,0.181,-0.265,0.204,0.089,0.114,-0.48,0.452]"
5,"Deep neural networks can process complex patterns in massive datasets","[-0.434,-0.381,-0.463,0.013,0.19,0.428,-0.001,0.292,0.339,0.482]","[0.038,0.04,0.396,-0.431,0.159,-0.414,-0.222,0.477,-0.04,0.146]"
6,"Computer vision enables machines to recognize objects in images automatically","[-0.202,-0.395,0.278,0.381,-0.365,0.387,0.329,0.314,-0.087,-0.18]","[0.453,-0.228,-0.331,0.131,-0.367,-0.165,-0.106,-0.299,0.035,-0.495]"
7,"Reinforcement learning allows agents to learn through trial and error interactions","[0.169,-0.221,-0.081,-0.475,-0.168,0.285,-0.195,-0.288,0.489,-0.164,-0.151]","[0.323,0.309,0.277,0.404,-0.255,0.36,-0.155,-0.373,-0.182,0.291,0.042]"
8,"Transfer learning helps models adapt knowledge across different problem domains","[-0.38,0.169,0.212,0.257,0.197,0.2,-0.348,-0.138,-0.341,-0.112]","[0.035,-0.406,0.369,-0.155,0.136,0.133,-0.494,0.006,0.308,-0.23]"
9,"Gradient descent optimizes model parameters by minimizing loss functions iteratively","[-0.063,-0.477,0.129,-0.124,0.328,0.251,0.067,0.15,0.203,0.141]","[0.215,0.209,-0.007,0.003,0.27,-0.447,0.481,-0.152,-0.047,0.172]"
10,"Convolutional networks excel at extracting features from spatial image data","[0.194,-0.095,-0.328,-0.028,-0.44,-0.038,0.076,0.362,-0.08,-0.052]","[0.416,-0.488,0.398,0.288,-0.032,0.429,-0.288,-0.46,-0.466,-0.138]"
11,"Recurrent architectures process sequential information using memory mechanisms","[-0.498,0.431,0.349,0.273,0.124,-0.089,0.233,0.225]","[-0.034,0.264,-0.436,0.332,-0.13,-0.366,0.148,-0.432]"
12,"Attention mechanisms allow models to focus on relevant parts of input data","[-0.016,0.294,-0.162,-0.459,-0.377,-0.004,0.122,0.397,0.152,-0.214,-0.032,0.369]","[0.243,0.027,0.375,-0.341,-0.067,-0.358,-0.385,0.083,0.205,-0.381,-0.085,0.087]"
13,"Transformer models revolutionized natural language understanding through self attention","[0.019,-0.259,0.401,-0.054,0.187,0.236,0.114,-0.34,-0.081]","[0.396,-0.146,-0.263,0.37,0.23,0.161,0.001,0.061,0.205]"
14,"Batch normalization stabilizes training by normalizing activations across mini batches","[-0.387,-0.073,0.208,0.137,-0.011,0.443,-0.464,0.314,0.243,-0.142]","[-0.138,0.072,0.137,0.229,-0.433,0.07,0.137,0.188,-0.055,0.407]"
15,"Dropout regularization prevents overfitting by randomly deactivating neurons during training","[0.365,-0.351,-0.363,-0.386,0.269,0.131,0.451,0.015,-0.229,-0.152]","[-0.073,0.428,0.461,-0.465,-0.461,0.172,0.029,0.208,-0.406,0.41]"
16,"Supervised learning uses labeled examples to train predictive models on new data","[0.043,0.371,-0.111,-0.43,0.449,0.307,0.181,0.098,0.091,-0.025,-0.28,-0.022]","[0.141,-0.105,0.08,0.471,-0.386,0.23,-0.326,-0.061,0.032,-0.1,0.454,-0.295]"
17,"Unsupervised learning discovers hidden patterns in data without explicit labels","[-0.419,0.402,0.035,-0.108,0.246,0.314,-0.163,-0.417,0.199,-0.439]","[-0.302,0.111,-0.0,-0.321,-0.391,0.482,0.493,0.225,-0.16,-0.402]"
18,"Semi supervised approaches combine labeled and unlabeled data for better performance","[-0.39,-0.471,-0.476,-0.268,-0.097,-0.129,0.386,0.072,-0.133,0.387,-0.092]","[-0.309,0.232,-0.263,0.25,-0.067,-0.235,0.328,-0.396,-0.37,0.234,-0.386]"
19,"Feature engineering transforms raw data into meaningful representations for algorithms","[0.394,-0.21,-0.257,-0.1,-0.447,-0.059,-0.086,-0.018,0.495,0.467]","[0.128,-0.016,-0.268,0.491,-0.412,0.261,-0.035,0.145,-0.398,-0.344]"
20,"Cross validation helps estimate model performance on unseen test data accurately","[0.423,-0.477,0.258,-0.032,-0.241,0.155,-0.063,-0.043,0.114,0.443,0.267]","[-0.121,0.269,0.1,0.149,0.191,0.07,0.048,-0.166,0.087,-0.397,0.057]"
21,"Hyperparameter tuning optimizes model configuration through systematic search methods","[0.371,-0.354,-0.131,-0.241,0.347,0.199,0.133,-0.208,-0.279]","[-0.432,-0.131,-0.208,0.227,0.037,-0.229,-0.296,0.289,0.45]"
22,"Overfitting occurs when models memorize training data instead of learning general patterns","[0.13,-0.227,-0.173,-0.07,0.257,-0.01,-0.442,-0.319,0.289,0.269,0.331,-0.014]","[0.21,-0.496,-0.113,0.198,0.077,-0.256,0.093,0.023,0.231,-0.085,-0.408,0.276]"
23,"Regularization techniques prevent overfitting by adding constraints to model complexity","[-0.046,0.251,-0.479,-0.101,-0.46,-0.013,-0.111,-0.166,0.234,-0.084]","[-0.374,-0.374,0.104,-0.068,-0.019,-0.338,-0.223,-0.417,-0.171,-0.413]"
24,"Ensemble methods combine multiple models to achieve better predictive performance together","[-0.271,0.087,0.15,-0.321,0.195,-0.315,-0.459,-0.139,0.247,-0.453,0.331]","[0.124,-0.185,0.292,0.215,-0.03,0.299,-0.254,-0.485,0.055,-0.098,0.241]"
25,"Bias variance tradeoff balances model complexity with generalization ability carefully","[0.186,0.246,-0.273,-0.351,0.459,-0.057,-0.12,0.26,-0.303,0.385]","[-0.085,0.127,0.073,-0.412,-0.385,-0.442,0.446,-0.22,0.418,0.095]"
26,"Precision recall metrics evaluate classification model performance on imbalanced datasets","[-0.3,0.268,-0.327,-0.019,0.239,0.289,0.346,0.323,-0.425,0.26]","[0.067,0.109,-0.463,-0.026,0.133,-0.312,-0.005,0.248,0.125,0.231]"
27,"Confusion matrices provide detailed insights into classification error patterns","[0.132,0.125,-0.01,-0.484,-0.307,0.265,-0.339,0.038,0.137]","[-0.322,0.31,-0.341,0.369,0.284,0.389,0.079,0.411,0.198]"
28,"ROC curves visualize classification performance across different decision thresholds","[-0.498,-0.196,-0.103,-0.322,0.392,0.232,-0.412,-0.167,0.481]","[-0.159,-0.226,-0.128,0.152,0.302,0.225,-0.053,-0.073,0.155]"
29,"Loss functions measure prediction errors during model training optimization process","[0.019,-0.475,-0.159,0.161,-0.041,0.048,-0.449,0.318,-0.363,-0.029]","[-0.131,-0.488,0.14,0.48,-0.369,0.182,-0.209,0.28,-0.341,0.459]"
30,"Backpropagation computes gradients efficiently for neural network parameter updates","[-0.358,0.397,-0.434,0.052,0.206,0.261,-0.041,0.034,0.258]","[-0.154,0.394,-0.273,-0.226,-0.039,0.437,-0.46,-0.438,-0.111]"
31,"Activation functions introduce nonlinearity into neural network computational graphs","[0.065,0.294,-0.28,0.312,-0.318,-0.441,-0.036,-0.162,0.327]","[-0.029,0.275,-0.238,-0.117,-0.159,0.424,0.071,0.15,0.013]"
32,"Pooling layers reduce spatial dimensions in convolutional neural network architectures","[0.379,0.46,-0.342,-0.168,-0.331,0.263,0.485,-0.43,-0.037,-0.382]","[0.124,-0.463,-0.213,0.216,0.013,0.497,0.348,-0.409,-0.424,0.074]"
33,"Fully connected layers combine features from previous layers in neural networks","[0.184,-0.369,-0.064,-0.248,-0.145,-0.041,0.268,0.257,0.357,0.358,-0.343]","[0.011,-0.381,-0.468,-0.246,-0.343,0.044,0.405,-0.151,-0.269,-0.34,0.117]"
34,"Embedding layers map discrete tokens to continuous vector representations efficiently","[0.466,-0.427,-0.26,-0.227,0.032,0.212,0.073,-0.383,-0.33,0.362]","[-0.035,-0.279,0.169,0.405,-0.125,0.278,0.293,0.056,0.143,0.197]"
35,"Tokenization splits text into smaller units for natural language processing tasks","[0.189,-0.466,0.136,0.231,0.341,-0.213,0.072,0.238,0.152,-0.485,-0.03]","[-0.197,0.074,0.024,-0.2,0.194,0.004,0.047,0.023,-0.288,0.445,-0.481]"
36,"Word embeddings capture semantic relationships between words in vector space","[-0.256,-0.234,-0.3,-0.202,0.08,0.22,-0.285,-0.065,0.302,0.206]","[0.473,0.003,0.08,0.204,-0.079,0.116,-0.038,-0.279,-0.205,-0.424]"
37,"Language models predict next words based on previous context in sequences","[0.44,-0.039,0.256,0.308,0.199,-0.227,0.467,-0.009,0.403,0.152,0.073]","[0.199,-0.491,0.308,-0.288,-0.061,-0.091,0.426,0.119,-0.446,-0.329,0.217]"
38,"Named entity recognition identifies people organizations and locations in text","[0.003,-0.347,0.28,0.081,-0.361,0.427,-0.249,0.352,0.125,-0.28]","[0.409,-0.188,-0.409,0.069,-0.134,-0.337,0.409,0.198,0.254,-0.081]"
39,"Sentiment analysis determines emotional tone and opinions expressed in text","[-0.267,0.108,0.037,0.416,-0.29,0.095,0.326,0.261,0.405,0.183]","[0.35,0.339,0.2,-0.004,-0.369,-0.372,0.032,-0.024,-0.308,-0.404]"
40,"Machine translation converts text from one language to another automatically","[0.083,0.355,0.377,-0.496,0.238,0.303,0.336,-0.465,-0.063,-0.322]","[-0.399,0.13,-0.165,-0.286,-0.075,0.095,0.435,0.054,0.413,-0.118]"
41,"Question answering systems extract answers from documents based on queries","[-0.189,0.46,-0.005,0.027,-0.16,-0.497,0.14,0.049,0.351,-0.179]","[-0.085,-0.172,-0.018,-0.354,-0.31,-0.448,-0.347,0.054,-0.433,-0.49]"
42,"Text summarization creates concise summaries from longer documents automatically","[-0.074,-0.327,0.115,-0.022,-0.274,0.479,-0.087,-0.254,0.136]","[-0.046,-0.11,0.161,-0.317,0.452,-0.181,-0.125,-0.01,0.443]"
43,"Chatbots use natural language understanding to converse with users effectively","[0.095,0.325,0.351,0.275,-0.025,0.202,0.463,0.468,-0.349,-0.465]","[-0.186,0.317,-0.064,-0.221,-0.44,0.462,-0.359,-0.184,0.04,0.029]"
44,"Speech recognition converts spoken audio into written text transcripts","[0.122,-0.08,-0.318,-0.299,0.18,0.243,0.336,-0.151,0.074]","[-0.103,-0.26,0.23,-0.446,0.019,-0.108,0.327,-0.273,-0.25]"
45,"Image classification assigns category labels to pictures using deep learning","[0.11,-0.487,0.002,-0.047,0.045,-0.253,-0.27,0.296,0.46,-0.444]","[0.306,0.375,-0.401,0.29,0.209,0.244,-0.281,0.145,-0.036,0.299]"
